T[s]	Sd/g[-]
1.200600	0.094556
1.202601	0.094398
1.204602	0.094242
1.206603	0.094085
1.208604	0.093930
1.210605	0.093774
1.212606	0.093620
1.214607	0.093465
1.216608	0.093312
1.218609	0.093158
1.220610	0.093006
1.222611	0.092853
1.224612	0.092702
1.226613	0.092551
1.228614	0.092400
1.230615	0.092250
1.232616	0.092100
1.234617	0.091951
1.236618	0.091802
1.238619	0.091653
1.240620	0.091506
1.242621	0.091358
1.244622	0.091211
1.246623	0.091065
1.248624	0.090919
1.250625	0.090774
1.252626	0.090629
1.254627	0.090484
1.256628	0.090340
1.258629	0.090196
1.260630	0.090053
1.262631	0.089910
1.264632	0.089768
1.266633	0.089626
1.268634	0.089485
1.270635	0.089344
1.272636	0.089204
1.274637	0.089064
1.276638	0.088924
1.278639	0.088785
1.280640	0.088646
1.282641	0.088508
1.284642	0.088370
1.286643	0.088232
1.288644	0.088095
1.290645	0.087959
1.292646	0.087823
1.294647	0.087687
1.296648	0.087552
1.298649	0.087417
1.300650	0.087282
1.302651	0.087148
1.304652	0.087015
1.306653	0.086881
1.308654	0.086748
1.310655	0.086616
1.312656	0.086484
1.314657	0.086352
1.316658	0.086221
1.318659	0.086090
1.320660	0.085960
1.322661	0.085830
1.324662	0.085700
1.326663	0.085571
1.328664	0.085442
1.330665	0.085313
1.332666	0.085185
1.334667	0.085058
1.336668	0.084930
1.338669	0.084803
1.340670	0.084677
1.342671	0.084551
1.344672	0.084425
1.346673	0.084299
1.348674	0.084174
1.350675	0.084050
1.352676	0.083925
1.354677	0.083801
1.356678	0.083678
1.358679	0.083554
1.360680	0.083432
1.362681	0.083309
1.364682	0.083187
1.366683	0.083065
1.368684	0.082944
1.370685	0.082823
1.372686	0.082702
1.374687	0.082581
1.376688	0.082461
1.378689	0.082342
1.380690	0.082222
1.382691	0.082103
1.384692	0.081985
1.386693	0.081866
1.388694	0.081749
1.390695	0.081631
1.392696	0.081514
1.394697	0.081397
1.396698	0.081280
1.398699	0.081164
1.400700	0.081048
1.402701	0.080932
1.404702	0.080817
1.406703	0.080702
1.408704	0.080587
1.410705	0.080473
1.412706	0.080359
1.414707	0.080245
1.416708	0.080132
1.418709	0.080019
1.420710	0.079906
1.422711	0.079794
1.424712	0.079682
1.426713	0.079570
1.428714	0.079459
1.430715	0.079348
1.432716	0.079237
1.434717	0.079126
1.436718	0.079016
1.438719	0.078906
1.440720	0.078796
1.442721	0.078687
1.444722	0.078578
1.446723	0.078470
1.448724	0.078361
1.450725	0.078253
1.452726	0.078145
1.454727	0.078038
1.456728	0.077931
1.458729	0.077824
1.460730	0.077717
1.462731	0.077611
1.464732	0.077505
1.466733	0.077399
1.468734	0.077294
1.470735	0.077188
1.472736	0.077084
1.474737	0.076979
1.476738	0.076875
1.478739	0.076771
1.480740	0.076667
1.482741	0.076563
1.484742	0.076460
1.486743	0.076357
1.488744	0.076255
1.490745	0.076152
1.492746	0.076050
1.494747	0.075948
1.496748	0.075847
1.498749	0.075746
1.500750	0.075645
1.502751	0.075544
1.504752	0.075443
1.506753	0.075343
1.508754	0.075243
1.510755	0.075144
1.512756	0.075044
1.514757	0.074945
1.516758	0.074846
1.518759	0.074748
1.520760	0.074649
1.522761	0.074551
1.524762	0.074453
1.526763	0.074356
1.528764	0.074258
1.530765	0.074161
1.532766	0.074065
1.534767	0.073968
1.536768	0.073872
1.538769	0.073776
1.540770	0.073680
1.542771	0.073584
1.544772	0.073489
1.546773	0.073394
1.548774	0.073299
1.550775	0.073204
1.552776	0.073110
1.554777	0.073016
1.556778	0.072922
1.558779	0.072829
1.560780	0.072735
1.562781	0.072642
1.564782	0.072549
1.566783	0.072457
1.568784	0.072364
1.570785	0.072272
1.572786	0.072180
1.574787	0.072088
1.576788	0.071997
1.578789	0.071906
1.580790	0.071815
1.582791	0.071724
1.584792	0.071633
1.586793	0.071543
1.588794	0.071453
1.590795	0.071363
1.592796	0.071273
1.594797	0.071184
1.596798	0.071095
1.598799	0.071006
1.600800	0.070917
1.602801	0.070828
1.604802	0.070740
1.606803	0.070652
1.608804	0.070564
1.610805	0.070476
1.612806	0.070389
1.614807	0.070302
1.616808	0.070215
1.618809	0.070128
1.620810	0.070041
1.622811	0.069955
1.624812	0.069869
1.626813	0.069783
1.628814	0.069697
1.630815	0.069612
1.632816	0.069526
1.634817	0.069441
1.636818	0.069356
1.638819	0.069272
1.640820	0.069187
1.642821	0.069103
1.644822	0.069019
1.646823	0.068935
1.648824	0.068851
1.650825	0.068768
1.652826	0.068685
1.654827	0.068602
1.656828	0.068519
1.658829	0.068436
1.660830	0.068354
1.662831	0.068271
1.664832	0.068189
1.666833	0.068107
1.668834	0.068026
1.670835	0.067944
1.672836	0.067863
1.674837	0.067782
1.676838	0.067701
1.678839	0.067620
1.680840	0.067540
1.682841	0.067460
1.684842	0.067379
1.686843	0.067299
1.688844	0.067220
1.690845	0.067140
1.692846	0.067061
1.694847	0.066982
1.696848	0.066903
1.698849	0.066824
1.700850	0.066745
1.702851	0.066667
1.704852	0.066589
1.706853	0.066511
1.708854	0.066433
1.710855	0.066355
1.712856	0.066277
1.714857	0.066200
1.716858	0.066123
1.718859	0.066046
1.720860	0.065969
1.722861	0.065893
1.724862	0.065816
1.726863	0.065740
1.728864	0.065664
1.730865	0.065588
1.732866	0.065512
1.734867	0.065437
1.736868	0.065361
1.738869	0.065286
1.740870	0.065211
1.742871	0.065136
1.744872	0.065061
1.746873	0.064987
1.748874	0.064912
1.750875	0.064838
1.752876	0.064764
1.754877	0.064690
1.756878	0.064617
1.758879	0.064543
1.760880	0.064470
1.762881	0.064397
1.764882	0.064324
1.766883	0.064251
1.768884	0.064178
1.770885	0.064106
1.772886	0.064033
1.774887	0.063961
1.776888	0.063889
1.778889	0.063817
1.780890	0.063745
1.782891	0.063674
1.784892	0.063603
1.786893	0.063531
1.788894	0.063460
1.790895	0.063389
1.792896	0.063319
1.794897	0.063248
1.796898	0.063178
1.798899	0.063107
1.800900	0.063037
1.802901	0.062967
1.804902	0.062897
1.806903	0.062828
1.808904	0.062758
1.810905	0.062689
1.812906	0.062620
1.814907	0.062551
1.816908	0.062482
1.818909	0.062413
1.820910	0.062344
1.822911	0.062276
1.824912	0.062208
1.826913	0.062140
1.828914	0.062072
1.830915	0.062004
1.832916	0.061936
1.834917	0.061869
1.836918	0.061801
1.838919	0.061734
1.840920	0.061667
1.842921	0.061600
1.844922	0.061533
1.846923	0.061466
1.848924	0.061400
1.850925	0.061333
1.852926	0.061267
1.854927	0.061201
1.856928	0.061135
1.858929	0.061069
1.860930	0.061004
1.862931	0.060938
1.864932	0.060873
1.866933	0.060808
1.868934	0.060742
1.870935	0.060678
1.872936	0.060613
1.874937	0.060548
1.876938	0.060483
1.878939	0.060419
1.880940	0.060355
1.882941	0.060291
1.884942	0.060227
1.886943	0.060163
1.888944	0.060099
1.890945	0.060035
1.892946	0.059972
1.894947	0.059909
1.896948	0.059845
1.898949	0.059782
1.900950	0.059719
1.902951	0.059657
1.904952	0.059594
1.906953	0.059531
1.908954	0.059469
1.910955	0.059407
1.912956	0.059345
1.914957	0.059283
1.916958	0.059221
1.918959	0.059159
1.920960	0.059097
1.922961	0.059036
1.924962	0.058975
1.926963	0.058913
1.928964	0.058852
1.930965	0.058791
1.932966	0.058730
1.934967	0.058670
1.936968	0.058609
1.938969	0.058548
1.940970	0.058488
1.942971	0.058428
1.944972	0.058368
1.946973	0.058308
1.948974	0.058248
1.950975	0.058188
1.952976	0.058129
1.954977	0.058069
1.956978	0.058010
1.958979	0.057950
1.960980	0.057891
1.962981	0.057832
1.964982	0.057773
1.966983	0.057715
1.968984	0.057656
1.970985	0.057597
1.972986	0.057539
1.974987	0.057481
1.976988	0.057423
1.978989	0.057364
1.980990	0.057307
1.982991	0.057249
1.984992	0.057191
1.986993	0.057133
1.988994	0.057076
1.990995	0.057019
1.992996	0.056961
1.994997	0.056904
1.996998	0.056847
1.998999	0.056790
2.001001	0.056733
2.003002	0.056677
2.005003	0.056620
2.007004	0.056564
2.009005	0.056507
2.011006	0.056451
2.013007	0.056395
2.015008	0.056339
2.017009	0.056283
2.019010	0.056227
2.021011	0.056172
2.023012	0.056116
2.025013	0.056061
2.027014	0.056005
2.029015	0.055950
2.031016	0.055895
2.033017	0.055840
2.035018	0.055785
2.037019	0.055730
2.039020	0.055676
2.041021	0.055621
2.043022	0.055567
2.045023	0.055512
2.047024	0.055458
2.049025	0.055404
2.051026	0.055350
2.053027	0.055296
2.055028	0.055242
2.057029	0.055188
2.059030	0.055135
2.061031	0.055081
2.063032	0.055028
2.065033	0.054974
2.067034	0.054921
2.069035	0.054868
2.071036	0.054815
2.073037	0.054762
2.075038	0.054709
2.077039	0.054657
2.079040	0.054604
2.081041	0.054551
2.083042	0.054499
2.085043	0.054447
2.087044	0.054395
2.089045	0.054342
2.091046	0.054290
2.093047	0.054239
2.095048	0.054187
2.097049	0.054135
2.099050	0.054083
2.101051	0.054032
2.103052	0.053980
2.105053	0.053929
2.107054	0.053878
2.109055	0.053827
2.111056	0.053776
2.113057	0.053725
2.115058	0.053674
2.117059	0.053623
2.119060	0.053573
2.121061	0.053522
2.123062	0.053472
2.125063	0.053421
2.127064	0.053371
2.129065	0.053321
2.131066	0.053271
2.133067	0.053221
2.135068	0.053171
2.137069	0.053121
2.139070	0.053072
2.141071	0.053022
2.143072	0.052972
2.145073	0.052923
2.147074	0.052874
2.149075	0.052824
2.151076	0.052775
2.153077	0.052726
2.155078	0.052677
2.157079	0.052628
2.159080	0.052580
2.161081	0.052531
2.163082	0.052482
2.165083	0.052434
2.167084	0.052385
2.169085	0.052337
2.171086	0.052289
2.173087	0.052241
2.175088	0.052193
2.177089	0.052145
2.179090	0.052097
2.181091	0.052049
2.183092	0.052001
2.185093	0.051954
2.187094	0.051906
2.189095	0.051859
2.191096	0.051811
2.193097	0.051764
2.195098	0.051717
2.197099	0.051670
2.199100	0.051623
2.201101	0.051576
2.203102	0.051529
2.205103	0.051482
2.207104	0.051436
2.209105	0.051389
2.211106	0.051343
2.213107	0.051296
2.215108	0.051250
2.217109	0.051203
2.219110	0.051157
2.221111	0.051111
2.223112	0.051065
2.225113	0.051019
2.227114	0.050973
2.229115	0.050928
2.231116	0.050882
2.233117	0.050836
2.235118	0.050791
2.237119	0.050746
2.239120	0.050700
2.241121	0.050655
2.243122	0.050610
